Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
03/04/2020 12:00:00 AM,0,2,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/07/2020 12:00:00 AM,5,13,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/10/2020 12:00:00 AM,6,20,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/13/2020 12:00:00 AM,16,54,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/16/2020 12:00:00 AM,41,116,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/19/2020 12:00:00 AM,19,184,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/22/2020 12:00:00 AM,26,262,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/25/2020 12:00:00 AM,44,380,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/28/2020 12:00:00 AM,17,473,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
03/31/2020 12:00:00 AM,55,585,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/03/2020 12:00:00 AM,26,689,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/06/2020 12:00:00 AM,52,791,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/09/2020 12:00:00 AM,76,990,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/12/2020 12:00:00 AM,18,1059,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/15/2020 12:00:00 AM,53,1191,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/18/2020 12:00:00 AM,14,1275,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/21/2020 12:00:00 AM,30,1376,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/24/2020 12:00:00 AM,36,1490,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/27/2020 12:00:00 AM,36,1608,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
04/30/2020 12:00:00 AM,39,1769,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
05/03/2020 12:00:00 AM,11,1860,03/21/2022 04:30:01 AM,03/21/2022 07:00:08 AM
